Group,People per dot,2016 Number,2016 Dots,2017 Number,2017 Dots,2018 Number,2018 Dots,2019 Number,2019 Dots,2020 Number,2020 Dots,2021 Number,2021 Dots,2022 Number,2022 Dots,Average 2016-2022 Number,Average 2016-2022 Dots
Eligible non-voters,10000,"8,227,759",823,"8,227,759",823,"8,227,759",823,"9,022,699",902,"9,022,699",902,"10,299,685",1030,"10,299,685",1030,"9,046,863.57142857",905
ALL non-donating voters (not used in viz),10000,17494632,1749,17490947,1749,"17,492,707",1749,"18,048,082",1805,"18,123,011",1812,"16,938,600",1694,"16,993,226",1699,17511600.7142857,1751
Non-donating voters needed for new funding goals,10000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"246,537",25
Remaining Non-donating voters,10000,17494632,1749,17490947,1749,17492707,1749,18048082,1805,18123011,1812,16938600,1694,16993226,1699,"17,265,064",1726
Donors >$1000,10000,11874,1,9942,1,"13,114",1,"19,726",2,"12,385",1,"17,177",2,"13,414",1,13947.4285714286,1
Donors $500-999,10000,12296,1,10395,1,"14,935",1,"20,604",2,"13,047",1,"18,294",2,"13,374",1,14706.4285714286,1
Donors $200-499,10000,31807,3,31016,3,"36,706",4,"50,010",5,"35,861",4,"44,408",4,"36,504",4,38044.5714285714,4
Donors $1-199,10000,161374,16,169683,17,"154,521",15,"211,937",21,"166,055",17,"191,332",19,"153,293",15,172599.285714286,17
All Canadians,10000,,,,,,,,,,,,,,,,4522
Below Tax Threshold,10000,,,,,,,,,,,,,,,,1356
Above Tax Threshold,10000,,,,,,,,,,,,,,,,3166
Non-donating voters below tax threshold,10000,,,,,,,0,0,,,,0,,,,0
